dataset,method_name,payload_name,scenario,patch,sample_count,repeat_count,expected_operating_cost_best,expected_operating_cost_median,expected_operating_cost_mean,expected_operating_cost_std,risk_adjusted_cost_best,risk_adjusted_cost_median,risk_adjusted_cost_mean,risk_adjusted_cost_std,runtime_seconds_median,runtime_seconds_mean,runtime_seconds_std,feasibility_rate,feasibility_after_repair_rate,critical_load_served_fraction_best,critical_load_served_fraction_median,critical_energy_not_served_best,energy_not_served_kwh_best,total_energy_not_served_best,max_fraction_customers_unserved_per_hour_best,total_critical_infrastructure_unserved_hours_proxy_best,pre_repair_violation_rate,post_repair_violation_rate,pre_repair_violation_median,post_repair_violation_median,decoded_objective_best,runtime_seconds_total,time_to_good_solution
qci_small_synthetic,GreedyCriticalLoadFirst,restoration_MG1-MG2-MG3.json,restoration,MG1-MG2-MG3,2,2,22408.963534706505,22408.963534706505,22408.963534706505,0.0,22408.963534706505,22408.963534706505,22408.963534706505,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.70444276742319,18.70444276742319,0.0018692216487694053,0.0,0.0,0.0,0.0,0.0,35487.67347190255,0.0,0.0
qci_small_synthetic,GreedyCriticalLoadFirst,storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding,MG1-MG2-MG3,2,2,22356.01930193228,22356.01930193228,22356.01930193228,0.0,22357.626484207278,22357.626484207278,22357.626484207278,0.0,0.0,0.0,0.0,1.0,1.0,0.9989538604180611,0.9989538604180611,6.428729099999941,2937.1260192909167,2937.1260192909167,0.24585198731974103,4.0,0.0,0.0,0.0,0.0,2138117.0134355724,0.0,0.0
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,combined_high_stress_MG1-MG2-MG3.json,combined_high_stress,MG1-MG2-MG3,2,2,16545.77458579816,16545.77458579816,16545.77458579816,0.0,16851.478069175533,16851.478069175533,16851.478069175533,0.0,0.08501499996054918,0.08501499996054918,0.0016661660047248006,1.0,1.0,0.8197331302785233,0.8197331302785233,1222.8139335094938,5975.713782888968,5975.713782888968,0.45317184232902086,4.0,0.0,0.0,0.0,0.0,3307923.630254559,0.17002999992109835,0.08334883395582438
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,demand_surge_MG1-MG2-MG3.json,demand_surge,MG1-MG2-MG3,2,2,17070.544232530796,17070.544232530796,17070.544232530796,0.0,17070.545696260237,17070.545696260237,17070.545696260237,0.0,0.09956127108307555,0.09956127108307555,0.0008008130243979394,1.0,1.0,0.9999990800700772,0.9999990800700772,0.005854917761268534,36.733406513555664,36.733406513555664,0.0029689937378348185,4.0,0.0,0.0,0.0,0.0,18455.162677987923,0.1991225421661511,0.09876045805867761
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,local_generator_failure_MG1-MG2-MG3.json,local_generator_failure,MG1-MG2-MG3,2,2,14769.63025990368,14769.63025990368,14769.63025990368,0.0,14769.63025990368,14769.63025990368,14769.63025990368,0.0,0.0973785204696469,0.0973785204696469,0.0003733125631697476,1.0,1.0,1.0,1.0,0.0,46.66362000000004,46.66362000000004,0.004431780450802132,0.0,0.0,0.0,0.0,0.0,16356.419360426593,0.1947570409392938,0.09700520790647715
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,normal_MG1-MG2-MG3.json,normal,MG1-MG2-MG3,2,2,16122.25560236539,16122.25560236539,16122.25560236539,0.0,16122.258207252342,16122.258207252342,16122.258207252342,0.0,0.10014706250512972,0.10014706250512972,0.00024668750120326877,1.0,1.0,0.999997999238195,0.999997999238195,0.010419547808178813,0.011141796006980885,0.011141796006980885,1.100495706929416e-06,4.0,0.0,0.0,0.0,0.0,18696.053879979965,0.20029412501025945,0.09990037500392646
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,pcc_failure_MG1-MG2-MG3.json,pcc_failure,MG1-MG2-MG3,2,2,21777.513456364577,21777.513456364577,21777.513456364577,0.0,21777.521032842305,21777.521032842305,21777.521032842305,0.0,0.09763870807364583,0.09763870807364583,0.0019304580055177212,1.0,1.0,0.9999944577698124,0.9999944577698124,0.03030591091467671,96.32337868903313,96.32337868903313,0.009060988069291261,4.0,0.0,0.0,0.0,0.0,26335.460029808484,0.19527741614729166,0.09570825006812811
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall,MG1-MG2-MG3,2,2,19620.20170708936,19620.20170708936,19620.20170708936,0.0,19620.205630343862,19620.205630343862,19620.205630343862,0.0,0.10039427049923688,0.10039427049923688,0.00011431251186877489,1.0,1.0,0.9999970457120874,0.9999970457120874,0.01569301800389683,0.016782432580794635,0.016782432580794635,1.6251291837197593e-06,4.0,0.0,0.0,0.0,0.0,20746.289604122016,0.20078854099847376,0.1002799579873681
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,restoration_MG1-MG2-MG3.json,restoration,MG1-MG2-MG3,2,2,22085.41678280216,22085.41678280216,22085.41678280216,0.0,22085.417030433484,22085.417030433484,22085.417030433484,0.0,0.08736150001641363,0.08736150001641363,0.0003099170280620456,1.0,1.0,0.9999998075850217,0.9999998075850217,0.0009905252998850473,45.19297572928749,45.19297572928749,0.004516343504903687,4.0,0.0,0.0,0.0,0.0,22709.095082972894,0.17472300003282726,0.08705158298835158
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding,MG1-MG2-MG3,2,2,22355.96169640189,22355.96169640189,22355.96169640189,0.0,22357.5725574692,22357.5725574692,22357.5725574692,0.0,0.0843736045062542,0.0843736045062542,7.481256034225225e-05,1.0,1.0,0.9989514658357475,0.9989514658357475,6.443444269244797,2940.8917270972306,2940.8917270972306,0.24616719570432075,4.0,0.0,0.0,0.0,0.0,1119397.3014741861,0.1687472090125084,0.08429879194591194
