benchmark,consensus_replicate,converged,convergence_tolerance,dual_residual,final_status,iteration,iteration_count,maximum_iterations,method,primal_residual,raw_conflict_count,rho,unresolved_conflict_count
pglib_case14_ieee,qci_sample_019,False,1e-06,2.728484105320198e-12,completed,23,30,200,QCi SC-CMPO,8.456733073710755e-05,407,1.0,0
pglib_case14_ieee,qci_sample_019,False,1e-06,2.728484105320685e-12,completed,24,30,200,QCi SC-CMPO,4.2283665368553774e-05,407,1.0,0
pglib_case14_ieee,qci_sample_019,False,1e-06,2.895264847119169e-18,completed,25,30,200,QCi SC-CMPO,2.114183268427689e-05,407,1.0,0
pglib_case14_ieee,qci_sample_019,False,1e-06,2.7284841053206693e-12,completed,26,30,200,QCi SC-CMPO,1.057091634213856e-05,407,1.0,0
pglib_case14_ieee,qci_sample_019,False,1e-06,2.728484105320632e-12,completed,27,30,200,QCi SC-CMPO,5.285458171069276e-06,407,1.0,0
pglib_case14_ieee,qci_sample_019,False,1e-06,3.1553393759700234e-18,completed,28,30,200,QCi SC-CMPO,2.642729085534667e-06,407,1.0,0
pglib_case14_ieee,qci_sample_019,False,1e-06,3.036890190543117e-18,completed,29,30,200,QCi SC-CMPO,1.321364054199078e-06,407,1.0,0
pglib_case14_ieee,qci_sample_019,True,1e-06,3.0447315352792426e-18,completed,30,30,200,QCi SC-CMPO,6.606829599522076e-07,407,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,4.2491873609703695e-18,completed,1,30,200,QCi SC-CMPO,365.60973422416345,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,3.757882892556455e-17,completed,2,30,200,QCi SC-CMPO,182.8048671120816,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,6.667622990849056e-17,completed,3,30,200,QCi SC-CMPO,91.40243355604123,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,1.3642420536274554e-12,completed,4,30,200,QCi SC-CMPO,45.701216778020026,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,7.061950247087051e-17,completed,5,30,200,QCi SC-CMPO,22.85060838901006,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,5.667723244233605e-17,completed,6,30,200,QCi SC-CMPO,11.425304194504694,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,6.053079949865745e-17,completed,7,30,200,QCi SC-CMPO,5.712652097253139,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,1.3642420536647906e-12,completed,8,30,200,QCi SC-CMPO,2.8563260486257085,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,5.74003908598478e-17,completed,9,30,200,QCi SC-CMPO,1.4281630243138568,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,7.655787923360985e-17,completed,10,30,200,QCi SC-CMPO,0.7140815121566341,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,7.077313943040418e-17,completed,11,30,200,QCi SC-CMPO,0.3570407560783919,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,5.895376106331008e-17,completed,12,30,200,QCi SC-CMPO,0.17852037803834706,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,6.758633199529228e-17,completed,13,30,200,QCi SC-CMPO,0.08926018901967332,390,1.0,0
