method,budget_id,budget,portfolio_rank,portfolio_signature,selected_asset_count,selected_asset_keys,total_upgrade_cost,reconstructed_upgrade_cost,budget_utilization,feasibility,native_master_energy,master_runtime_seconds,master_backend,recourse_evaluator,trace_path,system_trace_id,heldout_critical_ens,heldout_total_ens,heldout_critical_load_served_fraction,heldout_max_fraction_customers_unserved_per_hour,heldout_critical_infrastructure_outage_hours,heldout_contingency_count
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,10,b77a8d3a60b9244e3a8a,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2103767.4969941336,2103767.4969941336,0.99514651852197,True,-1.1693536,751.0,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_10__b77a8d3a60b9244e3a8a.json,system-e22a00d1e6f919e4071c,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,1,256684dd4591d41f7537,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2299684.2969941334,2299684.2969941334,0.7423176835074492,True,-6.6234493,5788.67815470905,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_01__256684dd4591d41f7537.json,system-08a84b87d832b27964eb,375.0,1013.0,0.7972972972972973,0.5200573065902578,90.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,2,b2a2f5e90724df753e22,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2250403.555668724,2250403.555668724,0.7264102975284157,True,-14.181757,999.0010147080757,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_02__b2a2f5e90724df753e22.json,system-4f44a5ee8b84430f7fdb,255.0,893.0,0.8621621621621621,0.48567335243553006,60.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,3,d7a3fec4bb6c4a2e482f,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2432857.479029638,2432857.479029638,0.7853048048802068,True,-11.8439522,999.0010147080757,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_03__d7a3fec4bb6c4a2e482f.json,system-4530b6157824cbbeefdf,515.0,1153.0,0.7216216216216216,0.5601719197707736,130.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,4,2a2a8d232668e0269cc1,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::bess"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2530250.768852114,2530250.768852114,0.816742494559911,True,-1.7945001,4289.175403750036,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_04__2a2a8d232668e0269cc1.json,system-f44f4e6bbf9eb49e7c7b,670.0,1308.0,0.6378378378378379,0.6045845272206304,90.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,5,bb0566c3af2909706f03,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::dispatchable_generation""]",2372700.7850060193,2372700.7850060193,0.7658867578841704,True,-18.2085724,5788.67815470905,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_05__bb0566c3af2909706f03.json,system-b336b757851d9b3daf62,375.0,1013.0,0.7972972972972973,0.5200573065902578,90.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,6,bc39838684d4dc2f17be,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::pv""]",2361498.3490770287,2361498.3490770287,0.7622707109775065,True,-10.8987083,999.0010147080757,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_06__bc39838684d4dc2f17be.json,system-e786fcbb857adbf8dece,355.0,993.0,0.8081081081081081,0.5143266475644699,90.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,7,a9bd14154d1e620fff74,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::dispatchable_generation""]",2295891.207751619,2295891.207751619,0.7410933079601096,True,-5.5813994,999.0010147080757,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_07__a9bd14154d1e620fff74.json,system-f0c0a26c56a127d33c62,215.0,853.0,0.8837837837837837,0.47421203438395415,60.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,8,529db5550266fddce23b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::48::bess"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2694469.2766390857,2694469.2766390857,0.86975077158681,True,-9.1899633,4289.175403750036,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_08__529db5550266fddce23b.json,system-38ec3dafbbd33b04073e,890.0,1528.0,0.518918918918919,0.667621776504298,140.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,9,6ca42c45e6bda7e99fec,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::pv"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2417208.987396572,2417208.987396572,0.7802536106468824,True,-15.0076361,4289.175403750036,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_09__6ca42c45e6bda7e99fec.json,system-37694465a43c14448441,395.0,1033.0,0.7864864864864864,0.5257879656160458,110.0,10
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,10,a3cf336f69ba87c6617b,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::pv"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2361196.8077516193,2361196.8077516193,0.7621733761135636,True,-3.1693726,999.0010147080757,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_10__a3cf336f69ba87c6617b.json,system-196f947f20bae1b7752a,275.0,913.0,0.8513513513513513,0.49140401146131807,70.0,10
QCi global budget master V2,slsqp_selected_cost,4532906.712497371,1,6fa2fed52b07eebcf83b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2124263.3532781717,2124263.3532781717,0.4686316061659748,True,-1.2100594,999.0240975001361,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__6cf4a5dde4__rank_01__6fa2fed52b07eebcf83b.json,system-17117e87b3f5259a1654,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,slsqp_selected_cost,4532906.712497371,2,5aa92abdd764605e19b8,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2375237.8251361526,2375237.8251361526,0.523998832490319,True,-3.188334,999.0240975001361,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__6cf4a5dde4__rank_02__5aa92abdd764605e19b8.json,system-38838c3c562b8f32e9af,435.0,1073.0,0.7648648648648648,0.5372492836676218,110.0,10
QCi global budget master V2,slsqp_selected_cost,4532906.712497371,3,cd44bda9c9096eb4ca21,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2349316.463455695,2349316.463455695,0.5182803469082109,True,-1.5307603,2800.8344675840344,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__6cf4a5dde4__rank_03__cd44bda9c9096eb4ca21.json,system-5c8803006c7c8b8b2bbd,375.0,1013.0,0.7972972972972973,0.5200573065902578,100.0,10
QCi global budget master V2,slsqp_selected_cost,4532906.712497371,4,e1118269654ea86697e1,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2474803.699384686,2474803.699384686,0.5459639600703831,True,-1.1260126,5610.073110625148,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__6cf4a5dde4__rank_04__e1118269654ea86697e1.json,system-7ff0f33bd6b2046954c3,535.0,1173.0,0.7108108108108108,0.5659025787965616,130.0,10
QCi global budget master V2,slsqp_selected_cost,4532906.712497371,5,50e8bfb5c3be108f423f,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::48::pv"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2462973.2388995048,2462973.2388995048,0.5433540540574125,True,-2.5212252,5610.073110625148,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__6cf4a5dde4__rank_05__50e8bfb5c3be108f423f.json,system-86e305732f01195adb9b,495.0,1133.0,0.7324324324324324,0.5544412607449857,130.0,10
QCi global budget master V2,slsqp_selected_cost,4532906.712497371,6,a74b4735b58f4abff174,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::bess"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2727122.0766390855,2727122.0766390855,0.6016276640153042,True,-1.292645,2800.8344675840344,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__6cf4a5dde4__rank_06__a74b4735b58f4abff174.json,system-f06c25a20f3a68a0bb8f,910.0,1548.0,0.5081081081081081,0.673352435530086,140.0,10
QCi global budget master V2,slsqp_selected_cost,4532906.712497371,7,b77308216fa09aed5f36,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::bess"", ""ieee123_opendss::65::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2823950.256284038,2823950.256284038,0.6229888315367963,True,-1.2431302,2800.8344675840344,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__6cf4a5dde4__rank_07__b77308216fa09aed5f36.json,system-fee5bf7c60c939335eab,1005.0,1643.0,0.45675675675675675,0.7005730659025788,130.0,10
