method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
DifferentialEvolutionOptimizer,normal,MG1,3246961.061287662,1950578.6980492387,3420.2790154843524,0.8947283174209232,0.7077824554213765,745.214229053927,153.28099555871026,True,0.0052263750694692135,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,3246961.061287662,0.0052263750694692135,0.0052263750694692135,3420.2790154843524,3458.59926437403,True,False,False,0,0,0.0,0.0,0.0052263750694692135,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.07360618156199637,4,4
CMPO-local polynomial search,normal,MG1,7084.458773402502,7086.0336538541205,7090.833653854403,1.0,1.0,0.0,0.0,True,0.011900208075530827,2,"Pre-QCi polynomial search proxy; best energy from 2 repeats, median_energy=4159143.079584.",1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,7084.458773402502,0.011900208075530827,0.011900208075530827,7090.833653854403,7090.833653854403,True,False,False,0,0,0.0,0.0,0.011900208075530827,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
Piecewise-linear MILP baseline,normal,MG1,348.7095209645336,348.7095209646039,353.5095209652868,1.0,1.0,0.0,0.0,True,0.009632417000830173,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,348.7095209645336,0.009632417000830173,0.009632417000830173,353.5095209652868,353.5095209652868,True,False,False,0,0,0.0,0.0,0.009632417000830173,COMPLETED,appsi_highs,5.0,4.0,16.0,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
QUBO/quadratized local search baseline,normal,MG1,27323.048717049835,7087.410267667849,7092.210267667648,1.0,1.0,0.0,0.0,True,0.14519487495999783,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=88, auxiliary_variables=16, approximation_error=20235.835789.",1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,27323.048717049835,0.14519487495999783,0.14519487495999783,7092.210267667648,7092.210267667648,True,False,False,0,0,0.0,0.0,0.14519487495999783,COMPLETED,,,,,,4.0,88.0,16.0,16.0,288.0,2.3636363636363638,20235.835789382174,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
GPU-parallel random restart baseline,normal,MG1,7087.2129276676615,7087.2129276676615,7092.012927667647,1.0,1.0,0.0,0.0,True,0.0966310000512749,16,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=16, median_energy=8384303.128368, std_energy=2901400.231807.",1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,7087.2129276676615,0.0966310000512749,0.0966310000512749,7092.012927667647,7092.012927667647,True,False,False,0,0,0.0,0.0,0.0966310000512749,COMPLETED,,,,,,,,,,,,,16.0,numpy_cpu_fallback,7087.2129276676615,8384303.128367502,7980603.493719413,2901400.2318072813,,,0.375,10124.343,0.0,0.0,0,0
IPOPT/Pyomo nonlinear baseline,normal,MG1,6588.000404776813,6248.454016970235,6253.254016970484,1.0,1.0,0.0,0.0,True,0.00946154200937599,1,IPOPT/cyipopt unavailable; used SciPy SLSQP fallback with same repair and metrics.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,6588.000404776813,0.00946154200937599,0.00946154200937599,6253.254016970484,6253.254016970484,True,False,False,0,0,0.0,0.0,0.00946154200937599,COMPLETED,scipy_slsqp_fallback,,,,IPOPT/cyipopt not available.,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
Stress-only reserve heuristic baseline,normal,MG1,161351.3071976676,161351.3071976676,7088.707197667648,1.0,0.8912048128653574,220.38200000000006,0.0,True,1.708301715552807e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,161351.3071976676,1.708301715552807e-05,1.708301715552807e-05,7088.707197667648,7088.707197667648,True,False,False,0,0,0.0,0.0,1.708301715552807e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,low,0.375,10124.343,0.0,0.021767535928010347,0,0
GreedyCriticalLoadFirst,renewable_shortfall,MG1,7456.732369992952,7456.732369992952,7461.532369994089,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,7456.732369992952,0.0,0.0,7461.532369994089,7461.532369994089,True,False,False,0,0,0.0,0.0,0.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
SLSQPDispatchOptimizer,renewable_shortfall,MG1,6892.735511847111,6914.022950166906,6918.8229501672795,1.0,1.0,0.0,0.0,True,0.009334708098322153,1,SLSQP reported failure gracefully: Iteration limit reached,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,6892.735511847111,0.009334708098322153,0.009334708098322153,6918.8229501672795,6918.8229501672795,True,False,False,0,0,0.0,0.0,0.009334708098322153,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
DifferentialEvolutionOptimizer,renewable_shortfall,MG1,3670843.8453945625,2026954.030935121,3075.9661182558043,0.9074261334878071,0.551274401159567,1064.6327265641485,137.48816733569464,True,0.004988750093616545,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,3670843.8453945625,0.004988750093616545,0.004988750093616545,3075.9661182558043,3110.338160089728,True,False,False,0,0,0.0,0.0,0.004988750093616545,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.10309385755331389,4,4
CMPO-local polynomial search,renewable_shortfall,MG1,7453.770106051653,7456.732369992952,7461.532369994089,1.0,1.0,0.0,0.0,True,0.01182804093696177,2,"Pre-QCi polynomial search proxy; best energy from 2 repeats, median_energy=4129274.257441.",1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,7453.770106051653,0.01182804093696177,0.01182804093696177,7461.532369994089,7461.532369994089,True,False,False,0,0,0.0,0.0,0.01182804093696177,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
Piecewise-linear MILP baseline,renewable_shortfall,MG1,481.82693336439735,481.82693336439553,486.6269333652868,1.0,1.0,0.0,0.0,True,0.009595458977855742,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,481.82693336439735,0.009595458977855742,0.009595458977855742,486.6269333652868,486.6269333652868,True,False,False,0,0,0.0,0.0,0.009595458977855742,COMPLETED,appsi_highs,5.0,4.0,16.0,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
QUBO/quadratized local search baseline,renewable_shortfall,MG1,59005.2416301864,7458.921358993929,7463.721358994089,1.0,1.0,0.0,0.0,True,0.142056499957107,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=88, auxiliary_variables=16, approximation_error=51548.509260.",1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,59005.2416301864,0.142056499957107,0.142056499957107,7463.721358994089,7463.721358994089,True,False,False,0,0,0.0,0.0,0.142056499957107,COMPLETED,,,,,,4.0,88.0,16.0,16.0,288.0,2.3636363636363638,51548.509260193445,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
GPU-parallel random restart baseline,renewable_shortfall,MG1,7456.732369992952,7456.732369992952,7461.532369994089,1.0,1.0,0.0,0.0,True,0.09454416704829782,16,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=16, median_energy=8019538.429684, std_energy=2675534.639937.",1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,7456.732369992952,0.09454416704829782,0.09454416704829782,7461.532369994089,7461.532369994089,True,False,False,0,0,0.0,0.0,0.09454416704829782,COMPLETED,,,,,,,,,,,,,16.0,numpy_cpu_fallback,7456.732369992952,8019538.429683698,7740417.629283182,2675534.6399368425,,,0.125,10326.82986,0.0,0.0,0,0
IPOPT/Pyomo nonlinear baseline,renewable_shortfall,MG1,6892.735511847111,6914.022950166906,6918.8229501672795,1.0,1.0,0.0,0.0,True,0.009166917065158486,1,IPOPT/cyipopt unavailable; used SciPy SLSQP fallback with same repair and metrics.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,6892.735511847111,0.009166917065158486,0.009166917065158486,6918.8229501672795,6918.8229501672795,True,False,False,0,0,0.0,0.0,0.009166917065158486,COMPLETED,scipy_slsqp_fallback,,,,IPOPT/cyipopt not available.,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
Stress-only reserve heuristic baseline,renewable_shortfall,MG1,651250.1819966277,651250.1819966277,7361.255996628802,1.0,0.5548057513746611,919.8481800000002,0.0,True,1.4541088603436947e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,651250.1819966277,1.4541088603436947e-05,1.4541088603436947e-05,7361.255996628802,7361.255996628802,True,False,False,0,0,0.0,0.0,1.4541088603436947e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,medium,0.125,10326.82986,0.0,0.08907362593073652,0,0
