n_scenarios,n_microgrids,horizon,method,expected_cost,critical_load_served_fraction,critical_energy_not_served_kwh,feasibility_rate,median_runtime_seconds,variable_count_per_hamiltonian,term_count_per_hamiltonian,payload_count
2,4,6,SLSQPDispatchOptimizer,4372.590656564872,0.999999174045249,0.0047300122977476395,0.0,0.047019417164847255,66,408,2
4,4,6,CMPO-local polynomial search,14570.864575342543,1.0,0.0,1.0,0.041038583032786846,66,420,4
4,4,6,GreedyCriticalLoadFirst,14570.864575342543,1.0,0.0,1.0,0.0,66,420,4
4,4,6,SLSQPDispatchOptimizer,6967.830889146516,0.9999992780638586,0.008694618184269393,0.0,0.04754879209212959,66,420,4
8,4,6,CMPO-local polynomial search,13421.435716258195,0.9383888177650687,1819.5695710204777,1.0,0.04109656251966953,66,424,8
8,4,6,GreedyCriticalLoadFirst,13421.435716258195,0.9350062346960268,1919.467755093759,1.0,0.0,66,424,8
8,4,6,SLSQPDispatchOptimizer,8063.157226327379,0.999999360922859,0.015495288887711282,0.25,0.0476823125500232,66,424,8
8,4,6,CMPO-local polynomial search,13421.435716258195,0.9383888177650687,1819.5695710204777,1.0,0.040960270911455154,66,424,8
8,4,6,GreedyCriticalLoadFirst,13421.435716258195,0.9350062346960268,1919.467755093759,1.0,0.0,66,424,8
8,4,6,SLSQPDispatchOptimizer,8063.157226327379,0.999999360922859,0.015495288887711282,0.25,0.04692262504249811,66,424,8
