method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,scenario_probability,scenario_total_load_kwh,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_upgrade_cost
CMPO-local polynomial search,storm_forced_islanding,MG1-MG2-MG3,2273453.908538088,2374568.4924091445,23799.709861791787,1.0,0.6479951376324204,2738.514605841503,0.0,True,1.8037763750180602,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=2977781530.285460.",0.0625,18169.713159999996,0.1507186482101572,0,0.0
GreedyCriticalLoadFirst,restoration,MG1-MG2-MG3,106899.92299401802,106899.92299401802,23929.881228080405,1.0,0.9817986416741122,118.55948823705207,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.125,15212.258301999998,0.007793680983017802,0,0.0
SLSQPDispatchOptimizer,restoration,MG1-MG2-MG3,25789.72002249614,56396.764675304825,21570.583750933492,0.9999912006778814,0.9999024919677755,0.6877606317059035,0.05261559513446633,False,1.3086894159205258,1,SLSQP reported failure gracefully: Iteration limit reached,0.125,15212.258301999998,4.5210948831672265e-05,6,0.0
DifferentialEvolutionOptimizer,restoration,MG1-MG2-MG3,1097367095.0427227,28854894.620044325,8763.074754745536,0.6102279082546982,0.5331919159952276,5371.3255428893035,2330.6443720885463,True,0.25768679194152355,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.125,15212.258301999998,0.35309192338543977,6,0.0
CMPO-local polynomial search,restoration,MG1-MG2-MG3,76282.21626168904,76282.21626168904,23927.303740982647,1.0,0.9954621211527835,29.55870568420832,0.0,False,1.7500471249222755,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=1658711316.788833.",0.125,15212.258301999998,0.0019430846556373654,0,0.0
GreedyCriticalLoadFirst,combined_high_stress,MG1-MG2-MG3,24982522.21220836,55195093.594123095,14376.978789835124,0.7564386370712708,0.5063913679901848,6157.2037562937585,1919.467755093759,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,20050.329495999995,0.3070874100858098,6,0.0
SLSQPDispatchOptimizer,combined_high_stress,MG1-MG2-MG3,55195093.594123095,55195093.594123095,14376.978789835124,0.7564386370712708,0.5063913679901848,6157.2037562937585,1919.467755093759,True,0.08359491685405374,1,SLSQP completed.,0.0625,20050.329495999995,0.3070874100858098,6,0.0
DifferentialEvolutionOptimizer,combined_high_stress,MG1-MG2-MG3,1952999245.467442,246691378.39338073,4690.258268592054,0.6229708993475024,0.6366532693030283,6090.71506797242,2971.3054350341927,True,0.25683583272621036,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.0625,20050.329495999995,0.3037713205255558,6,0.0
CMPO-local polynomial search,combined_high_stress,MG1-MG2-MG3,18625286.232940964,50838463.83520575,14374.401302737366,0.8209907676805013,0.5583458940740111,5202.438090647766,1410.7428418435566,True,1.7623627921566367,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=2884886804.294245.",0.0625,20050.329495999995,0.25946895743960935,6,0.0
GreedyCriticalLoadFirst,normal,MG1-MG2-MG4,18889.22558683455,18889.22558683455,18910.82558683401,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.375,15398.061999999998,0.0,0,0.0
SLSQPDispatchOptimizer,normal,MG1-MG2-MG4,18889.22558683455,18889.22558683455,18910.82558683401,1.0,1.0,0.0,0.0,True,0.07679891679435968,1,SLSQP completed.,0.375,15398.061999999998,0.0,0,0.0
