dataset,left_method,right_method,metric,paired_count,median_delta_left_minus_right,mean_delta_left_minus_right,left_better_fraction
synthetic_smoke,GreedyCriticalLoadFirst,Stress-only reserve heuristic baseline,expected_cost_component,4,51.79105168264323,51.79105168264323,0.0
synthetic_smoke,IPOPT/Pyomo nonlinear baseline,Piecewise-linear MILP baseline,expected_cost_component,4,6165.970256403595,6165.970256403596,0.0
synthetic_smoke,IPOPT/Pyomo nonlinear baseline,QUBO/quadratized local search baseline,expected_cost_component,4,-691.9273297619866,-691.9273297619866,1.0
synthetic_smoke,IPOPT/Pyomo nonlinear baseline,SLSQPDispatchOptimizer,expected_cost_component,4,0.0,0.0,0.0
synthetic_smoke,IPOPT/Pyomo nonlinear baseline,Stress-only reserve heuristic baseline,expected_cost_component,4,-638.9431135793429,-638.9431135793429,1.0
synthetic_smoke,Piecewise-linear MILP baseline,QUBO/quadratized local search baseline,expected_cost_component,4,-6857.897586165582,-6857.897586165582,1.0
synthetic_smoke,Piecewise-linear MILP baseline,SLSQPDispatchOptimizer,expected_cost_component,4,-6165.970256403595,-6165.970256403596,1.0
synthetic_smoke,Piecewise-linear MILP baseline,Stress-only reserve heuristic baseline,expected_cost_component,4,-6804.913369982938,-6804.913369982938,1.0
synthetic_smoke,QUBO/quadratized local search baseline,SLSQPDispatchOptimizer,expected_cost_component,4,691.9273297619866,691.9273297619866,0.0
synthetic_smoke,QUBO/quadratized local search baseline,Stress-only reserve heuristic baseline,expected_cost_component,4,52.98421618264365,52.98421618264365,0.0
synthetic_smoke,SLSQPDispatchOptimizer,Stress-only reserve heuristic baseline,expected_cost_component,4,-638.9431135793429,-638.9431135793429,1.0
