dataset,scenario,patch,method_name,repeat_count,best_cost,median_cost,p10_cost,p90_cost,std_cost,best_critical_load_served_fraction,median_runtime_seconds,feasibility_rate
pglib_case14_adapted,storm_forced_islanding,BUS14_MG-BUS1_MG,CMPO-V2 + QCi Dirac-3,30,61.793843876286736,61.793844606582795,61.79384430785735,61.79384480468676,2.3636667753680362e-07,1.0,435.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS1_MG,CMPO + QCi Dirac-3,30,3.3377364975470174,3.3377364975470245,3.3377364975470245,3.3377364975470245,2.2307840648008083e-15,0.0,32.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS1_MG,CMPO-V2 + QCi Dirac-3,30,3.3377364975470245,3.3377364975470254,3.3377364975470245,8.73401655308551,2.6740490095139604,1.0,31.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS1_MG-BUS2_MG,CMPO + QCi Dirac-3,30,10.949329905382022,55.02051008824141,11.178741956366324,55.02051481653714,14.95731222799972,1.0,435.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS1_MG-BUS2_MG,CMPO-V2 + QCi Dirac-3,30,55.02047067091321,55.020501114285565,55.02049058442984,55.02050904062006,8.484537138476266e-06,1.0,435.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS2_MG,CMPO + QCi Dirac-3,30,7.611593407834997,7.611593407834997,7.611593407834997,7.611593407834997,3.552713678800501e-15,0.0,34.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS2_MG,CMPO-V2 + QCi Dirac-3,30,7.611593407834997,7.611593407834997,7.611593407834997,46.28650335651983,17.72307023354489,1.0,31.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS3_MG,CMPO + QCi Dirac-3,30,0.4693590000000001,0.4693590000000001,0.4693590000000001,0.4693590000000001,1.6653345369377348e-16,0.0,32.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS3_MG,CMPO-V2 + QCi Dirac-3,30,0.0,0.4693590000000001,0.0,0.4693590000000001,0.1985166021935949,0.1063876316417148,31.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS3_MG-BUS4_MG,CMPO + QCi Dirac-3,30,13.550961697260666,71.390625,71.390625,71.390625,14.40260259397097,0.421390562647194,435.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS3_MG-BUS4_MG,CMPO-V2 + QCi Dirac-3,30,71.390625,71.390625,71.390625,71.390625,0.06731456008918135,0.4217720483501049,435.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS4_MG,CMPO + QCi Dirac-3,30,13.456892026260665,13.456892026260665,13.456892026260665,13.456892026260665,7.105427357601002e-15,0.0,33.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS4_MG,CMPO-V2 + QCi Dirac-3,30,13.456892026260665,13.456892026260665,13.456892026260665,71.390625,23.173493189495733,0.9973718526149395,31.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS4_MG-BUS9_MG,CMPO + QCi Dirac-3,30,27.05257829384176,142.78125,142.78125,142.78125,20.773932334947514,0.9984183905503764,436.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS4_MG-BUS9_MG,CMPO-V2 + QCi Dirac-3,30,142.78125,142.78125,142.78125,142.78125,0.0,0.9984183905503764,435.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS9_MG,CMPO + QCi Dirac-3,30,13.5956862675811,13.5956862675811,13.5956862675811,13.5956862675811,8.881784197001252e-15,0.0,33.0,1.0
pglib_case14_adapted,storm_forced_islanding,BUS9_MG,CMPO-V2 + QCi Dirac-3,30,13.5956862675811,13.5956862675811,13.5956862675811,71.390625,25.557883540934938,1.0,31.0,1.0
pglib_case30_adapted,demand_surge,BUS12_MG,CMPO + QCi Dirac-3,20,94.9814006653409,95.5870406653409,95.58704066534088,95.5870406653409,0.13199617780829703,0.0,21.0,1.0
pglib_case30_adapted,demand_surge,BUS12_MG,CMPO-V2 + QCi Dirac-3,30,95.5870406653409,95.5870406653409,95.5870406653409,110.06353346534092,6.715804088049896,1.0,31.0,1.0
pglib_case30_adapted,demand_surge,BUS1_MG,CMPO + QCi Dirac-3,20,56.18895760120727,56.1889576012073,56.188957601207285,56.188957601207306,1.0296742478167743e-14,0.0,22.0,1.0
pglib_case30_adapted,demand_surge,BUS1_MG,CMPO-V2 + QCi Dirac-3,30,56.18895760120726,56.1889576012073,56.18895760120727,66.42032448264814,4.688601319706703,1.0,30.0,1.0
pglib_case30_adapted,demand_surge,BUS1_MG-BUS2_MG,CMPO + QCi Dirac-3,20,243.14482751082397,279.27067061610705,246.92124256786812,352.4721648490538,37.097274288544796,1.0,290.0,1.0
pglib_case30_adapted,demand_surge,BUS1_MG-BUS2_MG,CMPO-V2 + QCi Dirac-3,30,334.28047267931424,382.27937804893224,346.17755861464866,406.1299262805377,22.556231169615963,1.0,433.0,1.0
pglib_case30_adapted,demand_surge,BUS2_MG,CMPO + QCi Dirac-3,40,285.68051115266604,299.4482807987887,292.74655549378843,299.4482807987887,3.6140719418353573,0.0,20.5,1.0
