dataset,scenario,method_name,expected_operating_cost,risk_adjusted_cost,critical_load_served_fraction,critical_energy_not_served_kwh,energy_not_served_kwh,max_fraction_customers_unserved_per_hour,total_critical_infrastructure_unserved_hours_proxy,runtime_seconds
pglib_case30_adapted,storm_forced_islanding,GPU-parallel random restart baseline,90.50241521693692,117.6603431111359,1.0,0.0,0.0,0.0,0.0,0.004140312550589401
pglib_case30_adapted,storm_forced_islanding,GreedyCriticalLoadFirst,117.6603431111359,117.6603431111359,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case30_adapted,storm_forced_islanding,IPOPT/Pyomo nonlinear baseline,117.6603431111359,117.6603431111359,1.0,0.0,0.0,0.0,0.0,0.13741124997613946
pglib_case30_adapted,storm_forced_islanding,QUBO/quadratized local search baseline,117.6603431111359,117.6603431111359,1.0,0.0,0.0,0.0,0.0,6.1104252295335755
pglib_case30_adapted,storm_forced_islanding,SLSQPDispatchOptimizer,117.6603431111359,117.6603431111359,1.0,0.0,0.0,0.0,0.0,0.13940887455828485
pglib_case57_adapted,demand_surge,Piecewise-linear MILP baseline,460.4173359858487,460.4173359858487,1.0,0.0,0.0,0.0,0.0,0.022449853946454802
pglib_case57_adapted,demand_surge,DifferentialEvolutionOptimizer,814.1268645253037,928.4947679310546,0.6778498527421886,446.6885089765625,1155.256226581113,0.1674276932177358,6.0,0.0902411669376306
pglib_case57_adapted,demand_surge,Stress-only reserve heuristic baseline,1775.244535310994,1775.244535310994,1.0,0.0,492.06698199999994,0.07131373786115545,0.0,5.531293572857976e-05
pglib_case57_adapted,demand_surge,IPOPT/Pyomo nonlinear baseline,1852.2332486397765,1852.2332486397765,1.0,0.0,0.0,0.0,0.0,0.1361597289796918
pglib_case57_adapted,demand_surge,SLSQPDispatchOptimizer,1852.2332486397765,1852.2332486397765,1.0,0.0,0.0,0.0,0.0,0.13286491704639042
pglib_case57_adapted,demand_surge,CMPO-local polynomial search,1853.1446381247897,1853.1446381247897,1.0,0.0,0.0,0.0,0.0,0.24106783303432164
pglib_case57_adapted,demand_surge,GPU-parallel random restart baseline,1853.1446381247897,1853.1446381247897,1.0,0.0,0.0,0.0,0.0,0.0020131460623815
pglib_case57_adapted,demand_surge,GreedyCriticalLoadFirst,1853.1446381247897,1853.1446381247897,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case57_adapted,demand_surge,QUBO/quadratized local search baseline,1854.1101896434209,1854.1101896434209,1.0,0.0,0.0,0.0,0.0,2.91417502053082
pglib_case57_adapted,normal,Piecewise-linear MILP baseline,363.7940919858486,363.7940919858486,1.0,0.0,0.0,0.0,0.0,0.0233400624711066
pglib_case57_adapted,normal,DifferentialEvolutionOptimizer,816.7277847010571,894.8809621507453,0.6280073611762513,431.5388294742727,1042.905569022758,0.1845820508803676,6.0,0.0910841459990479
pglib_case57_adapted,normal,IPOPT/Pyomo nonlinear baseline,1176.9968228173007,1176.9968228173007,1.0,0.0,0.0,0.0,0.0,0.20462495851097623
pglib_case57_adapted,normal,SLSQPDispatchOptimizer,1176.9968228173007,1176.9968228173007,1.0,0.0,0.0,0.0,0.0,0.20985514548374334
pglib_case57_adapted,normal,Stress-only reserve heuristic baseline,1205.429850785829,1205.429850785829,1.0,0.0,371.13919999999996,0.0656872843840418,0.0,5.5458047427237034e-05
pglib_case57_adapted,normal,CMPO-local polynomial search,1261.5629528396253,1261.5629528396253,1.0,0.0,0.0,0.0,0.0,0.2395018334500491
pglib_case57_adapted,normal,GPU-parallel random restart baseline,1261.5629528396255,1261.5629528396255,1.0,0.0,0.0,0.0,0.0,0.00221443746704605
pglib_case57_adapted,normal,GreedyCriticalLoadFirst,1261.5629528396255,1261.5629528396255,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case57_adapted,normal,QUBO/quadratized local search baseline,1266.5367803341137,1266.5367803341137,1.0,0.0,0.0,0.0,0.0,2.896861125016585
pglib_case57_adapted,pcc_failure,Piecewise-linear MILP baseline,389.2319079858486,389.2319079858486,1.0,0.0,0.0,0.0,0.0,0.024254896561615148
pglib_case57_adapted,pcc_failure,DifferentialEvolutionOptimizer,869.701237017287,952.0817012690645,0.6507567133415456,418.4293229924198,1054.9225818574848,0.1778180201663273,6.0,0.09052227099891749
pglib_case57_adapted,pcc_failure,Stress-only reserve heuristic baseline,1341.6480732257164,1341.6480732257164,1.0,0.0,400.31480999999997,0.0674771667434795,0.0,5.539599806070328e-05
