score_mode,dataset,method_name,challenge_score,challenge_rank,best_method_by_challenge_score,qci_minus_best_challenge_score,qci_outcome_by_challenge_score,critical_energy_not_served_kwh,total_hours_critical_infrastructure_unserved,max_fraction_customers_unserved_per_hour,total_energy_not_served,critical_load_served_fraction,feasibility_after_repair,risk_adjusted_cost,expected_operating_cost,runtime,weighted_challenge_score,weighted_challenge_rank,lexicographic_challenge_score,lexicographic_challenge_rank,best_cost_by_method,median_cost_by_method,total_upgrade_cost,energy_not_served_kwh,wall_clock_runtime_seconds,median_runtime_seconds,time_to_good_solution,repeat_count,scenario_count,normalized_critical_energy_not_served_kwh,normalized_total_hours_critical_infrastructure_unserved,normalized_max_fraction_customers_unserved_per_hour,normalized_total_energy_not_served,normalized_risk_adjusted_cost,normalized_runtime,infeasibility_penalty
lexicographic,pglib_case57_adapted,Stress-only reserve heuristic baseline,5.0,6,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0,0,0.1033718389010302,19890.690912,1.0,1.0,11912.20192800631,11179.2274434327,5.083298310637474e-05,,,5.0,6.0,453.03564801973545,1288.207592939732,0.0,19890.690912,0.0027248398400843143,5.566695472225547e-05,5.083298310637474e-05,3,4,,,,,,,
lexicographic,pglib_case57_adapted,IPOPT/Pyomo nonlinear baseline,6.0,7,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0028558508831393998,36,8.58397263651388e-08,0.0030555148126722,0.9999999603436759,1.0,12042.174538112802,11299.608223515048,0.0723787090973928,,,6.0,7.0,545.7715400571014,1271.2116722330186,0.0,0.0030555148126722,7.2027951783966255,0.1530057710479013,0.0723787090973928,3,4,,,,,,,
lexicographic,pglib_case57_adapted,SLSQPDispatchOptimizer,7.0,8,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0028558508831393998,36,8.58397263651388e-08,0.0030555148126722,0.9999999603436759,1.0,12042.174538112802,11299.608223515048,0.0743063329719007,,,7.0,8.0,545.7715400571014,1271.2116722330186,0.0,0.0030555148126722,7.069164164597167,0.15023377106990665,0.0743063329719007,3,4,,,,,,,
lexicographic,pglib_case57_adapted,DifferentialEvolutionOptimizer,8.0,9,Piecewise-linear MILP baseline,,inconclusive_no_qci,19273.3448002343,288,0.221949087064782,51555.98399899421,0.6628541278974519,1.0,6994.621179810183,6646.345201621991,0.0810400829650461,,,8.0,9.0,296.422629550153,814.1268645253037,0.0,51555.98399899421,4.319086001487447,0.0903046044986695,0.0810400829650461,3,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,Piecewise-linear MILP baseline,0.0,1,Piecewise-linear MILP baseline,8.0,qci_loss,0.0,0,0.0039040558362543,3457.556747141201,1.0,1.0,77693.47742376219,77465.55368647078,0.0208893329836428,,,0.0,1.0,383.2663132038759,582.1347282927577,0.0,3457.556747141201,24.645291309338027,0.02892972895642735,0.0208893329836428,50,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,GreedyCriticalLoadFirst,1.0,2,Piecewise-linear MILP baseline,8.0,qci_loss,0.0,0,0.0149649065522917,13253.399999999987,1.0,1.0,188995.2689913747,188322.49440580624,0.0,,,1.0,2.0,491.0739194363283,1328.515179174468,0.0,13253.399999999987,0.0,0.0,0.0,50,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,GPU-parallel random restart baseline,2.0,3,Piecewise-linear MILP baseline,8.0,qci_loss,0.0,0,0.0149649065522917,13253.399999999987,1.0,1.0,188995.2689913747,188322.49440580624,0.0018854580121114,,,2.0,3.0,491.0739194363283,1328.515179174468,0.0,13253.399999999987,16.08999752392989,0.0023376040044240003,0.0018854580121114,50,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,CMPO-local polynomial search,3.0,4,Piecewise-linear MILP baseline,8.0,qci_loss,0.0,0,0.0149649065522917,13253.399999999987,1.0,1.0,188995.2689913747,188322.49440580624,0.2951447919476777,,,3.0,4.0,491.0739194363283,1328.5151791744674,0.0,13253.399999999987,452.81413049669936,0.5631682920502499,0.2951447919476777,50,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,Stress-only reserve heuristic baseline,4.0,5,Piecewise-linear MILP baseline,8.0,qci_loss,0.0,0,0.2009459459459459,953887.06,1.0,1.0,163601.03038244008,162989.22713583254,4.5666005462408066e-05,,,4.0,5.0,199.81718123124497,1156.1982248112208,0.0,953887.06,0.04871116345748277,5.870847962796688e-05,4.5666005462408066e-05,50,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,SLSQPDispatchOptimizer,5.0,6,Piecewise-linear MILP baseline,8.0,qci_loss,1.3091987312372402,1200,0.013775625551556,12200.153553911592,0.9999986465683915,1.0,188784.90098153308,188115.38876399165,0.0452969589969143,,,5.0,6.0,491.07437060820337,1330.0232006409742,0.0,12200.153553911592,116.16882258537224,0.13304216647520656,0.0452969589969143,50,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,IPOPT/Pyomo nonlinear baseline,6.0,7,Piecewise-linear MILP baseline,8.0,qci_loss,1.3091987312372402,1200,0.013775625551556,12200.153553911592,0.9999986465683915,1.0,188784.90098153308,188115.38876399165,0.0458797910250723,,,6.0,7.0,491.07437060820337,1330.0232006409742,0.0,12200.153553911592,117.21799497911707,0.13126029144041235,0.0458797910250723,50,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,QUBO/quadratized local search baseline,7.0,8,Piecewise-linear MILP baseline,8.0,qci_loss,207.71503494282427,24,0.0317229401413074,20754.109248199915,0.9997453266228413,1.0,190688.43591648605,190014.2376996182,1.3783102500019595,,,7.0,8.0,478.4524570397786,1314.9308626172444,0.0,20754.109248199915,1835.1499724218156,2.351641687040683,1.3783102500019595,50,4,,,,,,,
lexicographic,pglib_case5_pjm_adapted,CMPO + QCi Dirac-3,8.0,9,Piecewise-linear MILP baseline,8.0,qci_loss,137737.62161893514,1638,0.2777440685052399,371485.7146959015,0.7461045931441351,1.0,69918.35992020355,69379.66774930945,15.0,,,8.0,9.0,165.42597054005836,748.709987412492,0.0,371485.7146959015,6000.0,15.0,15.0,50,4,,,,,,,
