dataset,payload_name,scenario,patch,sample_count,repeat_count,job_count,expected_operating_cost_best,expected_operating_cost_median,risk_adjusted_cost_best,risk_adjusted_cost_median,critical_load_served_fraction_best,critical_load_served_fraction_median,critical_energy_not_served_best,total_energy_not_served_best,max_fraction_customers_unserved_per_hour_best,total_critical_infrastructure_unserved_hours_proxy_best,feasibility_after_repair_rate,pre_repair_violation_rate,post_repair_violation_rate,pre_repair_violation_median,post_repair_violation_median,qci_energy_best,qci_energy_median,decoded_objective_best,runtime_seconds_total,runtime_seconds_median,time_to_good_solution
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS4_MG-BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,renewable_shortfall,BUS4_MG-BUS9_MG,30,1,1,270.77901534,297.4322347805909,270.77901534,297.4322347805909,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6718.937454199999,1.4210854715202004e-14,-411940.21875,-377181.296875,11383.4433872842,13020.0,434.0,434.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,renewable_shortfall,BUS4_MG,30,1,1,122.77484968799999,155.49663375067044,157.53543988799998,190.25722395067044,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11022.0682989,2.842170943040401e-14,-31895912.0,-10829276.0,-63927062.418688014,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS9_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,renewable_shortfall,BUS9_MG,30,1,1,125.14059626534092,133.2764594653409,148.14139226534093,156.27725546534091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11305.189973,2.842170943040401e-14,-31178656.0,-5867144.0,-64139250.58987594,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__storm_forced_islanding_BUS14_MG-BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,storm_forced_islanding,BUS14_MG-BUS1_MG,30,1,1,61.793843876286736,61.793844606582795,61.793843876286736,61.793844606582795,1.0,1.0,0.0,2e-07,1.3323915101878318e-10,0.0,1.0,1.0,0.0,9895.159967199997,1.2434497875801753e-14,-248956.421875,-222731.0859375,5848.370376140886,13050.0,435.0,435.0
pglib_case14_ieee,pglib_case14_ieee__storm_forced_islanding_BUS14_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,storm_forced_islanding,BUS14_MG,30,1,1,13.706899750259483,13.706899750259483,28.05117445025948,28.05117445025948,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13620.805476900001,0.0,-39123488.0,-11211552.0,-80835970.36825629,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__storm_forced_islanding_BUS1_MG-BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,storm_forced_islanding,BUS1_MG-BUS2_MG,30,1,1,55.02047067091321,55.020501114285565,55.02047067091321,55.020501114285565,1.0,1.0,0.0,1.91e-05,1.2724338922293794e-08,0.0,1.0,1.0,0.0,9663.087840749995,1.2434497875801753e-14,-258220.96875,-232577.5234375,3822.71190277826,13050.0,435.0,435.0
pglib_case14_ieee,pglib_case14_ieee__storm_forced_islanding_BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,storm_forced_islanding,BUS1_MG,30,1,1,3.3377364975470245,3.3377364975470254,8.734016553085505,8.769766197547025,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12583.17347315,7.105427357601002e-15,-42611768.0,-1148764.0,-83874733.11504309,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__storm_forced_islanding_BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,storm_forced_islanding,BUS2_MG,30,1,1,7.611593407834997,7.611593407834997,23.232533707834996,23.232533707834996,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13430.6221229,3.552713678800501e-15,-74594880.0,-7184160.0,-114545763.26495215,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,storm_forced_islanding,BUS3_MG-BUS4_MG,30,1,1,71.390625,71.390625,137.2033553,137.2033553,0.42177204835010496,0.42139056264719377,263.077356,767.1383,0.511064279029963,6.0,1.0,1.0,0.0,10492.198734599999,1.4210854715202004e-14,-551383.4375,-522302.859375,8427.0052585933,13050.0,435.0,435.0
pglib_case14_ieee,pglib_case14_ieee__storm_forced_islanding_BUS3_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,storm_forced_islanding,BUS3_MG,30,1,1,0.0,0.46935900000000014,65.707044,73.999053,0.10638763164171483,0.0,262.828176,622.3066799999999,0.41457806858258783,6.0,1.0,1.0,0.0,13184.45784255,0.0,-56963504.0,-6509208.0,-96588922.69562124,930.0,31.0,31.0
